Date: Jan 1, Mon, Holiday: New Year's Day*
Date: Jan 6, Sat, Holiday: Three Kings' Day
Date: Jan 15, Mon, Holiday: Martin Luther King, Jr. Day
Date: Feb 9, Fri, Holiday: Lunar New Year's Eve
Date: Feb 10, Sat, Holiday: Lunar New Year
Date: Feb 12, Mon, Holiday: Lincoln's Birthday
Date: Feb 14, Wed, Holiday: Ash Wednesday
Date: Feb 19, Mon, Holiday: Washington's Birthday (Presidents' Day)
Date: Mar 24, Sun, Holiday: Purim
Date: Mar 28, Thurs, Holiday: Holy Thursday
Date: Mar 29, Fri, Holiday: Good Friday
Date: Apr 10, Wed, Holiday: Idul-Fitr (Eid al-Fitr) 
Date: Apr 11, Thurs, Holiday: Idul-Fitr (Eid al-Fitr)
Date: Apr 23, Tue, Holiday: Passover
Date: Apr 24, Wed, Holiday: Passover
Date: Apr 29, Mon, Holiday: Passover (7th and 8th Days)
Date: Apr 30, Tue, Holiday: Passover (7th and 8th Days)
Date: May 2, Thurs, Holiday: Holy Thursday (Orthodox)
Date: May 3, Fri, Holiday: Good Friday (Orthodox)
Date: May 9, Thurs, Holiday: Solemnity of the Ascension
Date: May 27, Mon, Holiday: Memorial Day*
Date: June 12, Wed, Holiday: Shavuot (2 days)
Date: June 13, Thurs, Holiday: Shavuot (2 Days)
Date: June 17, Mon, Holiday: Idul-Adha (Eid al-Adha)
Date: June 18, Tue, Holiday: Idul-Adha (Eid al-Adha)
Date: June 19, Wed, Holiday: Juneteenth
Date: July 4, Thurs, Holiday: Independence Day*
Date: Aug 13, Tue, Holiday: Tisha B'Av
Date: Aug 15, Thurs, Holiday: Feast of the Assumption
Date: Sept 2, Mon, Holiday: Labor Day*
Date: Oct 3, Thurs, Holiday: Rosh Hashanah
Date: Oct 4, Fri, Holiday: Rosh Hashanah
Date: Oct 12, Sat, Holiday: Yom Kippur
Date: Oct 14, Mon, Holiday: Italian Heritage Day/Indigenous Peoples' Day
Date: Oct 18, Thurs, Holiday: Succoth (2 Days)
Date: Oct 17, Fri, Holiday: Succoth (2 Days)
Date: Oct 24, Thurs, Holiday: Shemini Atzereth
Date: Oct 25, Fri, Holiday: Simchas Torah
Date: Nov 1, Fri, Holiday: Diwali
Date: Nov 1, Fri, Holiday: All Saints' Day
Date: Nov 5, Tues, Holiday: Election Day
Date: Nov 11, Mon, Holiday: Veterans Day
Date: Nov 28, Thurs, Holiday: Thanksgiving Day*
Date: Dec 9, Mon, Holiday: Immaculate Conception
Date: Dec 25, Wed, Holiday: Christmas Day*
